Wall time,Step,Value
1670905805.2820625,22849,0.71875
1670905852.279709,22949,0.65625
1670905898.8769352,23049,0.78125
1670905922.3749614,23099,0.78125
1670906015.8202212,23299,0.75
1670906038.9590847,23349,0.78125
1670906085.8142862,23449,0.75
1670906132.8143022,23549,0.6875
1670906225.8424916,23749,0.65625
1670906246.1638887,23799,0.625
1670906335.8811314,23949,0.84375
1670906359.0950375,23999,0.84375
1670906382.380742,24049,0.71875
1670906405.63793,24099,0.75
1670906451.8893862,24199,0.78125
1670906475.1461384,24249,0.71875
1670906545.3857827,24399,0.6875
1670906568.8149266,24449,0.84375
1670906592.443343,24499,0.6875
1670906638.824796,24599,0.78125
1670906709.0497816,24749,0.78125
1670906802.817825,24949,0.75
1670906896.402082,25149,0.6875
1670906919.8015387,25199,0.65625
1670906990.4411986,25349,0.6875
1670907060.3845172,25499,0.6875
1670907083.9471507,25549,0.6875
1670907107.5306952,25599,0.65625
1670907147.4937015,25649,0.65625
1670907170.57661,25699,0.71875
1670907193.8314548,25749,0.71875
1670907263.4920099,25899,0.65625
1670907286.6852922,25949,0.6875
1670907309.6955357,25999,0.75
1670907333.241622,26049,0.65625
1670907403.0316133,26199,0.78125
1670907566.3732421,26549,0.71875
1670907636.1218302,26699,0.78125
1670907659.637573,26749,0.6875
1670907706.6154351,26849,0.75
1670907730.0176136,26899,0.71875
1670907753.7523825,26949,0.65625
1670907777.1816201,26999,0.71875
1670907800.2222364,27049,0.84375
1670907847.2551115,27149,0.71875
1670907893.9151921,27249,0.75
1670907940.5993009,27349,0.8125
1670907963.988081,27399,0.78125
1670908051.0293562,27549,0.8125
1670908097.5723248,27649,0.71875
1670908167.5638356,27799,0.65625
1670908190.9164743,27849,0.75
1670908330.7333155,28149,0.625
1670908353.8700588,28199,0.78125
1670908376.8173287,28249,0.65625
1670908470.7029388,28449,0.625
1670908540.6048648,28599,0.71875
1670908587.2599595,28699,0.84375
1670908657.5842762,28849,0.75
1670908750.812116,29049,0.8125
1670908844.7882426,29249,0.8125
1670908884.3132606,29299,0.75
1670908908.1422763,29349,0.71875
1670908954.7986758,29449,0.625
1670909001.211823,29549,0.8125
1670909024.7321777,29599,0.65625
1670909047.88022,29649,0.75
1670909094.6929972,29749,0.8125
1670909141.2796912,29849,0.75
1670909164.523838,29899,0.8125
1670909187.9728594,29949,0.625
1670909211.186906,29999,0.71875
1670909258.066756,30099,0.84375
1670909281.409038,30149,0.78125
1670909304.7967868,30199,0.75
1670909351.905484,30299,0.71875
1670909422.5892806,30449,0.8125
1670909469.6567411,30549,0.65625
1670909539.5760646,30699,0.65625
1670909563.0573783,30749,0.875
1670909609.867736,30849,0.71875
1670909656.6917639,30949,0.71875
1670909703.1409566,31049,0.75
1670909766.6961384,31149,0.84375
1670909789.9002872,31199,0.6875
1670909859.3667336,31349,0.875
1670909906.4710953,31449,0.78125
1670909929.6532876,31499,0.78125
1670910022.6419938,31699,0.84375
1670910116.155568,31899,0.78125
1670910186.2013917,32049,0.78125
1670910209.631081,32099,0.90625
1670910232.9740257,32149,0.625
1670910256.5017743,32199,0.71875
1670910279.721785,32249,0.78125
1670910396.6795433,32499,0.78125
1670910443.4330444,32599,0.84375
1670910466.7789466,32649,0.84375
1670910490.4490755,32699,0.84375
1670910513.8022861,32749,0.65625
1670910537.3146713,32799,0.65625
1670910605.3084774,32949,0.78125
1670910670.76936,33049,0.625
1670910834.0371222,33399,0.71875
1670910904.1394944,33549,0.78125
1670911020.8662784,33799,0.75
1670911044.0537848,33849,0.65625
1670911067.6567347,33899,0.8125
1670911137.3033576,34049,0.90625
1670911184.1149638,34149,0.71875
1670911207.507436,34199,0.75
1670911230.859332,34249,0.84375
1670911301.0151849,34399,0.8125
1670911418.3194327,34649,0.6875
1670911465.2874227,34749,0.78125
1670911528.523838,34849,0.78125
1670911552.26899,34899,0.875
1670911598.4569044,34999,0.875
1670911668.9035568,35149,0.75
1670911692.093094,35199,0.625
1670911739.0332034,35299,0.71875
1670911832.9724078,35499,0.75
1670911856.278362,35549,0.71875
1670911902.9440484,35649,0.84375
1670911973.3763833,35799,0.75
1670912020.113353,35899,0.78125
1670912090.7281282,36049,0.875
1670912114.0855427,36099,0.71875
1670912160.8086436,36199,0.84375
1670912207.4405074,36299,0.625
1670912230.6572418,36349,0.78125
1670912277.3892808,36449,0.6875
1670912300.8320556,36499,0.625
1670912346.4065082,36599,0.75
1670912387.5205965,36649,0.71875
1670912410.578542,36699,0.78125
1670912526.642239,36949,0.90625
1670912620.150618,37149,0.78125
1670912643.488114,37199,0.6875
1670912666.9877105,37249,0.71875
1670912924.0267594,37799,0.8125
1670912947.3681128,37849,0.78125
1670912994.3464572,37949,0.78125
1670913110.3202677,38199,0.8125
1670913133.9358394,38249,0.6875
1670913157.6359434,38299,0.78125
1670913224.7486372,38449,0.78125
1670913267.8573153,38499,0.78125
1670913337.83694,38649,0.6875
1670913407.9190738,38799,0.78125
1670913431.123321,38849,0.78125
1670913477.584113,38949,0.8125
1670913501.1166975,38999,0.8125
1670913524.4058516,39049,0.78125
1670913547.6936467,39099,0.875
